Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,45db685d,Jorginho,it ITA,MF,d48ad4ff,it Napoli,1991
2017,f36c432f,Stevan Jovetić,me MNE,FW,fd6114db,fr Monaco,1989
2017,cfd8d664,Juanfran,es ESP,DF,db3b9613,es Atlético Madrid,1985
2017,dff19848,Nicolai Jørgensen,dk DEN,FW,fb4ca611,nl Feyenoord,1991
2017,3e6b69c2,Marwan Kabha,il ISR,MF,2aae7689,si NK Maribor,1991
2017,5afafbfe,Shinji Kagawa,jp JPN,"MF,FW",add600ae,de Dortmund,1989
2017,733fecf1,Dominik Kaiser,de GER,MF,acbb6a5b,de RB Leipzig,1988
2017,b825a650,Kevin Kampl,si SVN,MF,acbb6a5b,de RB Leipzig,1990
2017,21a66f6a,Harry Kane,eng ENG,FW,361ca564,eng Tottenham,1993
2017,b9fbae28,N'Golo Kanté,fr FRA,MF,cff3d9bb,eng Chelsea,1991
2017,62ba5881,Stefanos Kapino,gr GRE,GK,2fdb4aef,gr Olympiacos,1994
2017,32e7ce92,Loris Karius,de GER,GK,822bd0ba,eng Liverpool,1993
2017,f25c8e3a,Naby Keïta,gn GUI,MF,acbb6a5b,de RB Leipzig,1995
2017,38ac43d3,Sami Khedira,de GER,MF,e0652b02,it Juventus,1987
2017,862fa9fb,Davit Khocholava,ge GEO,DF,e89d5a28,ua Shakhtar,1993
2017,aae44006,Khetag Khosonov,ru RUS,MF,f0c0c2c2,ru CSKA Moscow,1998
2017,49296448,Joshua Kimmich,de GER,DF,054efa67,de Bayern Munich,1995
2017,aef6e670,Presnel Kimpembe,fr FRA,DF,e2d8892c,fr Paris S-G,1995
2017,8b8a56ce,Simon Kjær,dk DEN,DF,ad2be733,es Sevilla,1989
2017,008a6e6d,Ragnar Klavan,ee EST,DF,822bd0ba,eng Liverpool,1985
2017,ca8033cb,Lukas Klostermann,de GER,DF,acbb6a5b,de RB Leipzig,1996
2017,55126f3b,Koke,es ESP,MF,db3b9613,es Atlético Madrid,1992
2017,eda40760,Aleksandar Kolarov,rs SRB,DF,cf74a709,it Roma,1985
2017,6d3f2898,Dmitri Kombarov,ru RUS,DF,8c635914,ru Spartak Moscow,1987
2017,d2bff301,Vincent Kompany,be BEL,DF,b8fd03ef,eng Manchester City,1986
2017,1f9a3a04,Terence Kongolo,nl NED,DF,fd6114db,fr Monaco,1994
2017,da270297,Eboue Kouassi,ci CIV,MF,b81aa4fa,sct Celtic,1997
2017,da974c7b,Kalidou Koulibaly,sn SEN,DF,d48ad4ff,it Napoli,1991
2017,114b510e,Leonardo Koutris,gr GRE,DF,2fdb4aef,gr Olympiacos,1995
2017,79c0821a,Mateo Kovačić,hr CRO,MF,53a2f082,es Real Madrid,1994
2017,9d60028d,Viktor Kovalenko,ua UKR,"MF,FW",e89d5a28,ua Shakhtar,1996
2017,2c6e72bf,Martin Kramarič,si SVN,FW,2aae7689,si NK Maribor,1997
