Season,Round,Week,Day,Date,Time,Home,xG_Home,Score,xG_Away,Away,Attendance,Venue,Referee,Match Report
2017,Quarter-finals,,Wed,2025-03-21-19:07:29,20:45 (01:45),Barcelona es,1.9,4–1,1.7,it Roma,90106,Camp Nou,Danny Makkelie,ed570f1a
2017,Quarter-finals,,Tue,2025-03-21-19:07:29,19:45 (01:45),Manchester City eng,1.2,1–2,0.8,eng Liverpool,53461,Etihad Stadium,Antonio Matéu Lahoz,d838d566
2017,Quarter-finals,,Tue,2025-03-21-19:07:29,20:45 (01:45),Roma it,2.7,3–0,0.9,es Barcelona,56580,Stadio Olimpico,Clément Turpin,facc75fa
2017,Quarter-finals,,Wed,2025-03-21-19:07:29,20:45 (01:45),Bayern Munich de,1.2,0–0,0.6,es Sevilla,70000,Allianz Arena,William Collum,215e3753
2017,Quarter-finals,,Wed,2025-03-21-19:07:29,20:45 (01:45),Real Madrid es,2.7,1–3,2.7,it Juventus,75796,Estadio Santiago Bernabéu,Michael Oliver,ef2140d3
2017,Semi-finals,,Tue,2025-03-21-19:07:29,19:45 (01:45),Liverpool eng,3.7,5–2,1.9,it Roma,51236,Anfield,Felix Brych,a2f4d0d5
2017,Semi-finals,,Wed,2025-03-21-19:07:29,20:45 (01:45),Bayern Munich de,1.9,1–2,0.7,es Real Madrid,70000,Allianz Arena,Björn Kuipers,f5ca2565
2017,Semi-finals,,Tue,2025-03-21-19:07:29,20:45 (01:45),Real Madrid es,1.8,2–2,3.0,de Bayern Munich,77459,Estadio Santiago Bernabéu,Cüneyt Çakιr,38beee5e
2017,Semi-finals,,Wed,2025-03-21-19:07:29,20:45 (01:45),Roma it,2.4,4–2,1.6,eng Liverpool,61889,Stadio Olimpico,Damir Skomina,089590e2
2017,Final,,Sat,2025-03-21-19:07:29,21:45 (01:45),Real Madrid es,1.5,3–1,1.9,eng Liverpool,61561,NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,8f71b212
